Path way points to (21 20.5).
28.1021,27.062,
28.195,27.8063,
28.2901,28.0365,
28.3153,28.7395,
Time,30.3525,
Path way points to (25 25).
x,y,
28.2901,28.0365,
28.195,27.8063,
28.1021,27.062,
28.1367,26.4268,
28.1776,25.9639,
28.0999,26.0926,
27.9526,25.4892,
28.1653,25.381,
27.9475,25.1426,
27.7584,24.9952,
27.438,24.9325,
26.8058,24.9063,
26.0829,24.9113,
26.1836,24.948,
25.6463,24.9504,
25.1424,24.971,
Time,26.3963,
Path way points to (21 20.5).
x,y,
25.3831,24.4512,
25.2113,23.8405,
25.3013,24.2594,
25.0442,23.5846,
24.7774,22.9041,
24.5058,22.3322,
24.5274,22.2791,
24.5918,22.4771,
24.3626,22.1392,
23.9748,21.5624,
23.6609,20.9038,
23.1049,20.8346,
22.3564,20.7864,
21.9189,20.7317,
21.3207,20.6461,
20.9478,20.5816,
Time,24.0169,
Path way points to (28.3 24.06).
x,y,
21.9189,20.7317,
22.3564,20.7864,
23.1049,20.8346,
23.4466,20.9345,
23.994,21.0763,
24.4648,21.5526,
24.8677,21.8925,
25.263,22.2411,
25.4912,22.4662,
25.9892,23.0271,
26.3674,23.2556,
26.809,23.4724,
27.4144,23.7102,
27.6721,23.8348,
28.1081,24.0296,
Time,27.1525,
Path way points to (28.4 29).
x,y,
28.0213,24.7523,
28.0627,24.4415,
28.1658,24.7701,
28.1653,25.381,
28.1776,25.9639,
28.1367,26.4268,
28.1021,27.062,
28.195,27.8063,
28.2901,28.0365,
28.3153,28.7395,
Time,29.7905,
Path way points to (25 25).
x,y,
28.2901,28.0365,
28.195,27.8063,
28.1021,27.062,
28.1367,26.4268,
28.0999,26.0926,
27.9526,25.4892,
27.9405,25.224,
27.438,24.9325,
26.9716,24.615,
27.0343,24.9266,
26.8058,24.9063,
27.0343,24.9266,
26.3059,24.9605,
25.6463,24.9504,
25.1424,24.971,
Time,29.6657,
Path way points to (21 20.5).
x,y,
25.3831,24.4512,
25.3013,24.2594,
25.0442,23.5846,
24.7774,22.9041,
24.5733,22.5053,
24.4251,22.2132,
24.1382,21.6211,
24.0555,21.4899,
23.6609,20.9038,
23.1049,20.8346,
22.3564,20.7864,
21.9189,20.7317,
21.3207,20.6461,
20.9478,20.5816,
Time,28.516,
Path way points to (28.3 24.06).
x,y,
21.9189,20.7317,
22.3564,20.7864,
23.1049,20.8346,
23.4466,20.9345,
23.994,21.0763,
24.4648,21.5526,
24.8677,21.8925,
25.263,22.2411,
25.4912,22.4662,
25.9892,23.0271,
26.3674,23.2556,
26.809,23.4724,
27.4144,23.7102,
27.6721,23.8348,
28.1081,24.0296,
Time,30.5236,
Path way points to (28.4 29).
x,y,
27.7275,24.0863,
27.8554,24.805,
27.9526,25.4892,
28.0999,26.0926,
28.1367,26.4268,
28.1021,27.062,
28.195,27.8063,
28.2901,28.0365,
28.3153,28.7395,
Time,21.5022,
Path way points to (25 25).
x,y,
28.2901,28.0365,
27.9328,28.8652,
27.6034,28.9754,
27.0053,29.0348,
26.7884,29.0423,
26.2567,28.9897,
26.0477,28.8486,
25.8651,28.3122,
25.7932,28.0345,
25.6152,27.3774,
25.5335,27.0161,
25.3417,26.4185,
25.22,25.8925,
25.0762,25.2737,
Time,26.491,
Path way points to (21 20.5).
x,y,
24.936,24.7192,
24.8509,24.4074,
24.6673,23.7241,
24.5225,23.1221,
24.3215,22.5121,
24.249,22.1689,
24.0133,21.5947,
